,context_1,context_2,context_3,question_1,question_2,question_3,answerA_1,answerA_2,answerA_3,answerB_1,answerB_2,answerB_3,answerC_1,answerC_2,answerC_3,correct
5457,O primeiro dia de Ash foi hoje e ele começou a trabalhar em um projeto incrível e importante.,O primeiro dia de Ash foi hoje e ele chegou a trabalhar um projeto surpreendente e importante.,O Ash tinha hoje o primeiro dia e ele trabalhou num projeto importante e incrível.,Como você descreveria Ash?,Como descreveria Ash?,Como descreveria o Ash?,Sentindo-se entediado,sensação de entorse,Sentir-se entediado,Orgulha-te,orgulha,orgulhoso,Sentindo-se passivo,sentir- se passivo,sentir-se passivo,B
5458,"Em meio a todo o rancor e debate acalorado, Casey sentiu vontade de falar.","Em meio a todo o rancor e aquecido debate, Casey sentiu-se","Em meio a todo o rancor e ao acalorado debate, Casey sentiu vontade de falar.",O que vai acontecer com Casey?,O que acontecerá com Casey?,O que vai acontecer ao Casey?,Quietos,án,- Cala-te .,Adiar para a cadeira,diferir para a cadeira,Deferir para a cadeira,Faça seu ponto de vista sobre o assunto,façam seu ponto sobre a questão,Fazer o seu ponto de vista sobre o assunto,C
5459,Carson estava fazendo um passeio de bicicleta à noite sozinho.,O próprio homem estava fazendo uma caminhada de bicicleta.,"O Carson estava a dar uma volta de bicicleta à noite, sozinho.",Como você descreveria Carson?,Como descreveria Carson?,Como descreveria o Carson?,Acalme-se,calm,Calma .,Muito Livre-Espírito,Muito,muito livre-espírito,Muito tímido,Muito tímido,muito tímido,B
5460,"Riley e seus amigos estão em uma viagem de acampamento, mas o fogo está ficando muito pequeno e parece que vai sair em breve, o que significa que todos ficarão muito frios.","Riley e seus amigos estão em uma viagem de acampamento, mas o incêndio está ficando muito pequeno","A Riley e os amigos estão numa viagem de acampamento, mas o fogo está a ficar muito pequeno e parece que vai apagar-se em breve, o que significa que vão ficar todos muito frios.",O que Riley precisa fazer antes disso?,O que é necessário para que Riley possa fazer antes disso?,O que é que a Riley precisa de fazer antes disto?,obter combustível,obter combustível,- Vamos buscar combustível .,queria se divertir,quis ter diversão,Queria divertir-me.,Apagar o fogo,apagar o fogo,Apague o fogo.,B
5461,Riley foi além do escopo da investigação e começou a suspeitar de pessoas de outros crimes.,riley ultrapassou o escopo da investigação e passou a suspeitar de pessoas de outros crimes.,Riley foi além do escopo da investigação e começou a suspeitar de outras pessoas.,Como os outros se sentiriam como resultado?,Como os outros se sentiriam como resultado?,Como se sentiriam os Outros?,Como se fossem ignorados,como são ignorados,Como se fossem ignorados.,Desconfie de todos que ele conhece,prurido de todos que ele sabe,Cuidado com todos os que conhece.,encaixotado em,embalagens em,em caixa,B
5462,Ash se abriu rapidamente quando perguntado sobre seu novo jogo.,Ash abriu rapidamente quando questionado sobre seu novo jogo.,Ash abriu-se rapidamente quando perguntado sobre o seu novo jogo.,O que Ash vai querer fazer a seguir?,O que queremos por Ash?,O que é que o Ash vai querer fazer a seguir?,excitado,excitação,excitado,Veja se os outros têm o jogo,Ver se os outros têm o jogo,Vê se outros têm o jogo.,Veja o que os outros pensam,Ver o que pensam os outros,Ver o que os outros pensam,C
5463,Remy estava passeando com seu cachorro e encontrou uma garota no parque.,Remy estava andando o cão e encontrou uma menina no parque.,O Remy estava a passear o cão e encontrou uma rapariga no parque.,O que os outros vão querer fazer a seguir?,O que queremos?,O que os Outros vão querer fazer a seguir?,Pergunte onde ela estava,Pergunte-lhe onde ela foi,Pergunta-lhe onde ela estava.,Acusá-lo de levá-la,acude-lo de o levar,Acusá-lo de a levar.,Conheça as meninas,Encontro de meninas,Conheça raparigas.,C
5464,Alex projetou o experimento de Robin usando controles rigorosos e estabelecendo coisas para análise estatística.,Alex elaborou o experimento de Robin utilizando controles rigorosos e estabelecendo coisas para análise estatística.,Alex projetou a experiência do Robin usando controles rigorosos e configurando coisas para análise estatística.,O que Alex precisa fazer antes disso?,O que é necessário para Alex antes disso?,O que é que a Alex precisa de fazer antes disto?,escolher participantes sem randomização,participantes da amostra sem randomização,escolher participantes sem randomizar,Seja um jogador de equipe,ser um jogador de equipe,ser um jogador de equipa,Tenha uma compreensão das estatísticas,têm um entendimento da estatística,ter uma compreensão das estatísticas,C
5465,Aubrey descobriu que estava grávida depois de ter um caso com um homem casado.,Aubrey descobriu estar grávida depois de ter tido um relacionamento com um homem casado.,A Aubrey descobriu que estava grávida depois de ter um caso com um homem casado.,Como o homem casado se sentiria como resultado?,Como o homem casado se sentiria como resultado?,Como se sentiria o homem casado?,muito feliz,muito feliz,Muito feliz.,muito excitado,Muito excitado,Muito excitado.,muito chateado,Muito desconforto,Muito chateado.,C
5466,"Mesmo que Ash lhe disse muitas vezes para deixá-lo em paz, os pais de Ash viu que Lee estava andando de bicicleta para casa da escola.","Embora Ash lhe tenha dito muitas vezes para deixar sozinho, os pais de Ash viram que Lee estava","Apesar de Ash lhe ter dito muitas vezes para deixar isso em paz, os pais de Ash viram que Lee estava a ir de bicicleta de Ash para casa da escola.",Como você descreveria Lee?,Como descreveria Lee?,Como descreveria o Lee?,Alguém que não se importa com o que os outros lhe dizem,Alguém que não cuida do que os outros lhe contam,Alguém que não se importa com o que os outros lhe dizem.,Lamento que ele tenha ignorado o pedido de Ash.,lamentavelmente ignorado o pedido de Ash,Desculpa ter ignorado o pedido do Ash.,feliz que ele conseguiu escapar com ele,feliz que ele tenha saído com ela,Feliz por ter escapado .,A
5467,Robin tem grandes objetivos. Eles alcançaram progresso na vida.,"Robin tem grandes objetivos, alcançaram progresso na vida.",A Robin tem grandes objetivos.,Porque é que a Robin fez isto?,Por que Robin fez isso?,Porque é que a Robin fez isto?,Queria ser alguém,quis ser uma pessoa,Queria ser alguém.,Culpa as outras pessoas,culpabiliza outros,Culpa outras pessoas,Agradecer a um amigo,agradecimento a uma amiga,Agradeça a um amigo,A
5468,Bailey assou um bolo para celebrar o feriado e pediu ao vizinho para vir.,Bailey fez uma torta para comemorar a data de Natal e pediu para que o vizinho viesse a,Bailey fez um bolo para celebrar o feriado e pediu ao vizinho para vir.,Como você descreveria Bailey?,Como descreveria Bailey?,Como descreveria a Bailey?,introvertido,introdução,introvertido,hospitaleiro,ambulatorial,hospitaleiro,sentimental,sentimental,sentimentais,B
5469,Robin viu um show de broadway e gostou muito.,Robin viu um show de larga escala e gostou muito.,Robin viu um show na Broadway e gostou muito.,O que Robin precisa fazer antes disso?,O que é necessário para Robin antes disso?,O que é que a Robin precisa de fazer antes disto?,comprar bilhetes para vê-lo novamente,compra de bilhetes para ver novamente,Compre bilhetes para ver outra vez.,post sobre isso nas redes sociais,postagem sobre a mesma nas mídias sociais,postar sobre isso nas redes sociais,Vá para o show antes disso,ir ao show antes deste,Vai ao espectáculo antes disto .,C
5470,Sydney forneceu informações para as pessoas quando elas pediram.,Sydney forneceu informações às pessoas quando solicitaram.,Sydney fornecia informações às pessoas quando elas as pediram.,Como se sentiria Sydney depois?,Como senti-lo-ia depois?,Como é que a Sydney se sentiria depois?,Ruim no seu trabalho,mal-estar no trabalho,maus no trabalho,Como um bom trabalhador,como um bom trabalhador,Como um bom trabalhador,Como um mau trabalhador,como um mau trabalhador,Como um mau trabalhador,B
5471,Carson estudou toda a semana para se preparar para o exame que acontece em uma hora.,Carson estudou toda a semana para preparar o exame que aconteceu em uma hora.,Carson estudou a semana toda para se preparar para o exame que vai acontecer daqui a uma hora.,O que Carson vai querer fazer a seguir?,O que queremos por Carson?,O que é que o Carson vai querer fazer a seguir?,Prepare-se para seus alunos,preparação para os alunos,Preparar os alunos,Chegar à aula a tempo,chegar à aula no tempo,Chegar às aulas a tempo .,Ignorar sua próxima classe,slide a sua próxima classe,Esqueceram a próxima aula.,B
5472,Jordan reuniu as pessoas apesar de suas diferenças de opinião.,Jordan reuniu as pessoas apesar das diferenças de opinião.,Jordan uniu as pessoas apesar das suas diferenças de opinião.,Como as pessoas se sentiriam como resultado?,Como as pessoas se sentiriam como resultado?,Como se sentiriam as pessoas?,foi inteligente,foi smart,Era esperto.,foi mudo,foi despejada,Era estúpido.,Foi uma tolice,foi arrolado,Foi uma tolice.,A
5473,"Carson sempre quis tocar na frente de um público, então eles aprenderam a tocar piano e tocaram em um recital com grandes aplausos.","Carson sempre quis brincar diante de um público, então aprendeu a tocar o piano e jogou","Carson sempre quis tocar na frente de um público, então eles aprenderam a tocar piano e tocaram em um recital com grandes aplausos.",Como Carson se sentiria depois?,Como senti-lo-ia depois?,Como é que o Carson se sentiria depois?,feliz,feliz,feliz,envergonhada,án,Envergonhado.,envergonhada,án,envergonhado,A
5474,"Depois de procurar freneticamente pela casa por sua carteira desaparecida, Jordan finalmente a encontrou.","Após buscar franticamente a casa para a carteira perdida, Jordan finalmente encontrou.","Depois de procurar desesperadamente pela casa pela carteira que havia desaparecido, Jordan finalmente a encontrou.",Por que Jordan fez isso?,Por que a Jordânia fez isso?,Porque é que a Jordan fez isto?,Olhe na carteira,olha na carteira,Olha na carteira .,Evite ter que cancelar sua assinatura da Netflix,Evite a anulação da sua assinatura no AASI,evitarem ter de cancelar a sua assinatura da Netflix,Certifique-se de que eles não perderam a carteira,assegurem que não perderam a carteira,Certifique-se de que não perderam a carteira.,C
5475,Carson amava tanto Bailey que ele queria fazer qualquer coisa com ela.,Carson adorava a Bailey tanto que queria fazer com ela.,O Carson amava tanto a Bailey que queria fazer qualquer coisa com ela.,Como Carson se sentiria depois?,Como senti-lo-ia depois?,Como é que o Carson se sentiria depois?,uma pessoa sentimental,uma pessoa sentimental,uma pessoa sentimental,Emocional,emocional,emocional,Comprometidos com sua relação com Bailey,Compromissado com a sua relação com Bailey,comprometidos com a sua relação com Bailey,C
5476,"Sydney encontrou conchas na areia, e organizou-as em um monte de linhas retas.",Sydney encontrou as conchas na areia e as organizou em um monte de linhas retas.,A Sydney encontrou conchas na areia e organizou-as em linhas retas.,Como você descreveria Sydney?,Como descreveria Sydney?,Como descreveria Sydney?,Alguém que gosta de quebrar coisas,alguém que gosta de quebrar as coisas,Alguém que gosta de partir coisas.,um indivíduo malicioso,um indivíduo malicioso,um indivíduo malicioso,um indivíduo meticuloso,um indivíduo meticuloso,Um indivíduo meticuloso.,C
5477,"Carson estava de mau humor, então ele ficou com raiva de Taylor sem motivo.","o cara estava em mau humor, então ele ficou com raiva ao taylor por nenhum motivo",Carson estava de mau humor e ficou zangado com a Taylor sem motivo.,O que Taylor vai querer fazer a seguir?,O que queremos por Taylor?,O que é que a Taylor vai querer fazer a seguir?,ressentir carson,         ,Não gostei do Carson.,Peça desculpas a Taylor,Pedidos a Taylor,Peço desculpa à Taylor .,Faça algo de bom para Taylor,fazer algo legal para Taylor,Faça algo por favor à Taylor.,A
5478,A Addison colocou muito do seu dinheiro num banco para que pudessem obtê-lo mais tarde.,Addison colocou muito dinheiro em um banco para conseguir mais tarde.,A Addison depositou muito dinheiro no banco para que pudessem recuperá-lo mais tarde.,Como se sentiria a Addison depois?,Como senti-lo-ia depois?,Como se sentiria a Addison depois?,mais rico,mais,mais rico,pobre,Pouco frequentes,pobre,triste,triste,triste,A
5479,Riley deixou o emprego depois de ser repreendida sobre sua produtividade no trabalho.,Riley deixou o emprego depois de ter esclarecido a produtividade do trabalho.,A Riley deixou o emprego depois de ser repreendida pela produtividade do trabalho.,Como Riley se sentiria depois?,Como se sentiria Riley depois?,Como é que a Riley se sentiria depois?,feliz em conversar com seu chefe,feliz com o chat com a pata,Feliz por conversar com o chefe dela.,Perturbado com o confronto,débito com o confronto,Estou chateado com o confronto.,Amado pelo seu chefe,amado pela sua chefe,Amada pelo chefe dela.,B
5480,Quinn verificou o filho de Kendall porque Kendall não teve tempo para fazê-lo.,"Quinn verificou o filho de Kendall, pois o país não teve tempo para fazê-",Quinn verificou o filho da Kendall porque ela não teve tempo para o fazer.,O que Kendall vai querer fazer a seguir?,O que queremos por Kendall?,O que é que a Kendall vai querer fazer a seguir?,Expresse gratidão,expresso gratidão,expressar gratidão,Diga a Kendall que ele vai verificar o seu filho,contará a Kendall que verificará o seu filho,Diz ao Kendall que vai ver o filho .,trapaceado,-,enganado,A
5481,"Addison tinha um monte de livros para passar, então ele começou um de cada vez.",addison tinha uma grande quantidade de livros para passar por isso começou um de cada vez.,"O Addison tinha muitos livros para ler, por isso começou um de cada vez.",O que é que a Addison precisa de fazer antes disso?,O que é necessário para Addison?,O que é que a Addison precisa de fazer antes disto?,Vender os livros,venda dos livros,Venda os livros.,quer passar por todos os livros,quer passar por todos os livros,Quero ver todos os livros.,Queime os livros,queimar os livros,Queima os livros.,B
